=========================================
Starting Admin Frontend
=========================================

Starting Admin Frontend on http://localhost:4000

Admin Login: http://localhost:4000/login

Press Ctrl+C to stop


> frontend-admin@0.1.0 dev
> next dev -p 4000

   ▲ Next.js 16.0.6 (Turbopack)
   - Local:         http://localhost:4000
   - Network:       http://192.168.0.106:4000
   - Environments: .env.local

 ✓ Starting...
 ✓ Ready in 717ms
 GET /stock-categories 200 in 171ms (compile: 83ms, render: 87ms)
 GET /dashboard 200 in 21ms (compile: 2ms, render: 19ms)
 GET /stock-categories 200 in 13ms (compile: 3ms, render: 11ms)
 GET /dashboard 200 in 30ms (compile: 5ms, render: 25ms)
 GET /stocks 200 in 93ms (compile: 84ms, render: 9ms)
 GET /dashboard 200 in 39ms (compile: 12ms, render: 27ms)
 GET /tables 200 in 96ms (compile: 10ms, render: 86ms)
 GET /tables 200 in 45ms (compile: 4ms, render: 41ms)
 GET /tables 200 in 48ms (compile: 6ms, render: 42ms)
 GET /debug-logs 200 in 258ms (compile: 241ms, render: 16ms)
 GET /debug-logs 200 in 57ms (compile: 10ms, render: 47ms)
 GET /stocks 200 in 24ms (compile: 6ms, render: 18ms)
 GET /stocks 200 in 26ms (compile: 6ms, render: 20ms)
 GET /dashboard 200 in 23ms (compile: 5ms, render: 18ms)
 GET /sync 200 in 42ms (compile: 27ms, render: 16ms)
 GET /sync 200 in 19ms (compile: 3ms, render: 16ms)
 GET /config 200 in 235ms (compile: 225ms, render: 10ms)
 ✓ Compiled in 82ms
 GET / 200 in 64ms (compile: 31ms, render: 33ms)
 GET /dashboard 200 in 18ms (compile: 4ms, render: 14ms)
 GET /dashboard 200 in 211ms (compile: 104ms, render: 107ms)
 GET /config 200 in 152ms (compile: 137ms, render: 15ms)
 GET /dashboard 200 in 17ms (compile: 1199µs, render: 15ms)
 GET /config 200 in 17ms (compile: 9ms, render: 7ms)
 GET /dashboard 200 in 20ms (compile: 1327µs, render: 19ms)
 GET /config 200 in 20ms (compile: 12ms, render: 8ms)
 GET /config 200 in 16ms (compile: 1030µs, render: 15ms)
 GET /dashboard 200 in 16ms (compile: 8ms, render: 8ms)
 GET /config 200 in 16ms (compile: 1109µs, render: 15ms)
 GET /dashboard 200 in 16ms (compile: 9ms, render: 7ms)
 GET /dashboard 200 in 19ms (compile: 1128µs, render: 18ms)
 GET /config 200 in 19ms (compile: 9ms, render: 10ms)
 GET /config 200 in 24ms (compile: 1266µs, render: 23ms)
 GET /dashboard 200 in 24ms (compile: 12ms, render: 12ms)
 GET /dashboard 200 in 23ms (compile: 3ms, render: 20ms)
 GET /config 200 in 23ms (compile: 15ms, render: 9ms)
 GET /config 200 in 27ms (compile: 3ms, render: 24ms)
 GET /dashboard 200 in 29ms (compile: 13ms, render: 16ms)
 GET /config 200 in 25ms (compile: 2ms, render: 23ms)
 GET /dashboard 200 in 14ms (compile: 1217µs, render: 13ms)
 GET /dashboard 200 in 28ms (compile: 13ms, render: 15ms)
 GET /config 200 in 30ms (compile: 1346µs, render: 28ms)
 GET /config 200 in 21ms (compile: 1254µs, render: 19ms)
 GET /dashboard 200 in 42ms (compile: 10ms, render: 32ms)
 GET /config 200 in 21ms (compile: 11ms, render: 10ms)
 GET /dashboard 200 in 22ms (compile: 1620µs, render: 21ms)
 GET /config 200 in 25ms (compile: 1294µs, render: 24ms)
 GET /dashboard 200 in 27ms (compile: 12ms, render: 15ms)
 GET /dashboard 200 in 52ms (compile: 35ms, render: 17ms)
 GET /config 200 in 52ms (compile: 42ms, render: 10ms)
 GET /config 200 in 14ms (compile: 7ms, render: 7ms)
 GET /dashboard 200 in 14ms (compile: 1229µs, render: 13ms)
 GET /config 200 in 15ms (compile: 1446µs, render: 14ms)
 GET /dashboard 200 in 15ms (compile: 7ms, render: 8ms)
 GET /dashboard 200 in 14ms (compile: 1024µs, render: 13ms)
 GET /config 200 in 15ms (compile: 7ms, render: 8ms)
 GET /dashboard 200 in 26ms (compile: 11ms, render: 15ms)
 GET /config 200 in 27ms (compile: 1173µs, render: 26ms)
 GET /config 200 in 26ms (compile: 1491µs, render: 25ms)
 GET /dashboard 200 in 28ms (compile: 13ms, render: 15ms)
 ✓ Compiled in 56ms
 GET /dashboard 200 in 41ms (compile: 17ms, render: 24ms)
 GET /config 200 in 45ms (compile: 3ms, render: 42ms)
 GET /dashboard 200 in 41ms (compile: 9ms, render: 32ms)
 GET /config 200 in 40ms (compile: 26ms, render: 15ms)
 GET /config 200 in 18ms (compile: 1706µs, render: 17ms)
 GET /dashboard 200 in 18ms (compile: 10ms, render: 8ms)
 GET /dashboard 200 in 20ms (compile: 1867µs, render: 18ms)
 GET /config 200 in 20ms (compile: 10ms, render: 10ms)
 GET /config 200 in 18ms (compile: 1084µs, render: 17ms)
 GET /dashboard 200 in 18ms (compile: 8ms, render: 10ms)
 GET /dashboard 200 in 18ms (compile: 1235µs, render: 16ms)
 GET /config 200 in 17ms (compile: 10ms, render: 8ms)
 GET /config 200 in 16ms (compile: 1335µs, render: 15ms)
 GET /dashboard 200 in 16ms (compile: 9ms, render: 7ms)
 GET /config 200 in 20ms (compile: 1144µs, render: 19ms)
 GET /dashboard 200 in 21ms (compile: 13ms, render: 7ms)
 GET /config 200 in 14ms (compile: 1012µs, render: 13ms)
 GET /dashboard 200 in 14ms (compile: 8ms, render: 7ms)
 GET /config 200 in 14ms (compile: 999µs, render: 13ms)
 GET /dashboard 200 in 14ms (compile: 8ms, render: 6ms)
 GET /config 200 in 14ms (compile: 1133µs, render: 13ms)
 GET /dashboard 200 in 14ms (compile: 8ms, render: 6ms)
 GET /config 200 in 15ms (compile: 1399µs, render: 14ms)
 GET /dashboard 200 in 15ms (compile: 9ms, render: 6ms)
 GET /config 200 in 15ms (compile: 1457µs, render: 13ms)
 GET /dashboard 200 in 15ms (compile: 8ms, render: 7ms)
 GET /dashboard 200 in 14ms (compile: 1118µs, render: 13ms)
 GET /config 200 in 15ms (compile: 7ms, render: 8ms)
 GET /config 200 in 15ms (compile: 1092µs, render: 14ms)
 GET /dashboard 200 in 15ms (compile: 8ms, render: 8ms)
 GET /dashboard 200 in 20ms (compile: 1072µs, render: 19ms)
 GET /config 200 in 20ms (compile: 14ms, render: 6ms)
 ✓ Compiled in 72ms
 GET /config 200 in 106ms (compile: 4ms, render: 102ms)
 GET /dashboard 200 in 106ms (compile: 86ms, render: 19ms)
 GET /dashboard 200 in 136ms (compile: 14ms, render: 122ms)
 GET /stocks 200 in 41ms (compile: 26ms, render: 15ms)
 GET /stock-history 200 in 261ms (compile: 248ms, render: 13ms)
 ✓ Compiled in 130ms
 GET /config 200 in 103ms (compile: 81ms, render: 22ms)
 GET /config 200 in 11ms (compile: 3ms, render: 8ms)
 GET /config 200 in 15ms (compile: 3ms, render: 13ms)
 GET /config 200 in 11ms (compile: 1114µs, render: 10ms)
 GET /config 200 in 11ms (compile: 3ms, render: 8ms)
 GET /config 200 in 16ms (compile: 1151µs, render: 15ms)
 GET /config 200 in 10ms (compile: 1369µs, render: 9ms)
 GET /stock-history 404 in 330ms (compile: 246ms, render: 84ms)
 GET /config 200 in 37ms (compile: 3ms, render: 34ms)
 GET /stock-history 404 in 35ms (compile: 2ms, render: 33ms)
 GET /config 200 in 37ms (compile: 1710µs, render: 35ms)
 GET /stock-history 404 in 38ms (compile: 10ms, render: 28ms)
 GET /stock-history 404 in 30ms (compile: 1550µs, render: 29ms)
 GET /config 200 in 31ms (compile: 1452µs, render: 30ms)
 GET /stock-history 404 in 33ms (compile: 1332µs, render: 32ms)
 GET /stock-history 404 in 33ms (compile: 1740µs, render: 31ms)
 GET /config 200 in 35ms (compile: 2ms, render: 33ms)
 GET /stock-history 404 in 33ms (compile: 2ms, render: 31ms)
 GET /stock-history 404 in 32ms (compile: 2ms, render: 30ms)
 GET /config 200 in 32ms (compile: 1321µs, render: 31ms)
 GET /stock-history 404 in 41ms (compile: 1337µs, render: 40ms)
 GET /stock-history 404 in 46ms (compile: 3ms, render: 44ms)
 GET /config 200 in 35ms (compile: 5ms, render: 29ms)
 GET /stock-history 404 in 37ms (compile: 4ms, render: 33ms)
 GET /stock-history 404 in 31ms (compile: 2ms, render: 29ms)
 GET /config 200 in 31ms (compile: 1635µs, render: 29ms)
 GET /stock-history 404 in 31ms (compile: 1971µs, render: 29ms)
 GET /stock-history 404 in 30ms (compile: 4ms, render: 26ms)
 GET /config 200 in 21ms (compile: 1008µs, render: 20ms)
 GET /stock-history 404 in 34ms (compile: 2ms, render: 32ms)
 GET /stock-history 404 in 33ms (compile: 2ms, render: 31ms)
 GET /config 200 in 23ms (compile: 4ms, render: 20ms)
 GET /stock-history 404 in 29ms (compile: 1856µs, render: 27ms)
 GET /stock-history 404 in 30ms (compile: 2ms, render: 28ms)
 GET /config 200 in 38ms (compile: 9ms, render: 29ms)
 GET /stock-history 404 in 30ms (compile: 4ms, render: 26ms)
 GET /stock-history 404 in 33ms (compile: 2ms, render: 30ms)
 GET /config 200 in 23ms (compile: 1389µs, render: 22ms)
 GET /stock-history 404 in 33ms (compile: 1382µs, render: 32ms)
 GET /stock-history 404 in 33ms (compile: 3ms, render: 30ms)
 GET /config 200 in 23ms (compile: 1453µs, render: 22ms)
 GET /stock-history 404 in 39ms (compile: 1595µs, render: 38ms)
 GET /stock-history 404 in 39ms (compile: 3ms, render: 36ms)
 GET /config 200 in 23ms (compile: 1567µs, render: 21ms)
 GET /stock-history 404 in 32ms (compile: 4ms, render: 28ms)
 GET /config 200 in 25ms (compile: 1367µs, render: 24ms)
 GET /stock-history 404 in 16ms (compile: 4ms, render: 12ms)
 GET /config 200 in 30ms (compile: 3ms, render: 27ms)
 GET /stock-history 404 in 38ms (compile: 10ms, render: 28ms)
 GET /stock-history 404 in 28ms (compile: 1271µs, render: 27ms)
 GET /config 200 in 28ms (compile: 1571µs, render: 27ms)
 GET /stock-history 404 in 28ms (compile: 3ms, render: 26ms)
 GET /stock-history 404 in 31ms (compile: 1415µs, render: 29ms)
 GET /config 200 in 31ms (compile: 1295µs, render: 30ms)
 GET /stock-history 404 in 32ms (compile: 4ms, render: 27ms)
 GET /stock-history 404 in 29ms (compile: 2ms, render: 27ms)
 GET /config 200 in 26ms (compile: 1289µs, render: 25ms)
 GET /stock-history 404 in 27ms (compile: 1388µs, render: 26ms)
 GET /stock-history 404 in 26ms (compile: 1692µs, render: 25ms)
 GET /config 200 in 18ms (compile: 1962µs, render: 16ms)
 GET /stock-history 404 in 9ms (compile: 1200µs, render: 8ms)
 GET /stock-history 404 in 29ms (compile: 1340µs, render: 28ms)
 GET /config 200 in 19ms (compile: 2ms, render: 16ms)
 GET /stock-history 404 in 9ms (compile: 1506µs, render: 8ms)
 GET /config 200 in 47ms (compile: 1396µs, render: 46ms)
 GET /stock-history 404 in 64ms (compile: 10ms, render: 54ms)
 GET /config 200 in 20ms (compile: 4ms, render: 16ms)
 GET /config 200 in 18ms (compile: 1721µs, render: 16ms)
 GET /config 200 in 18ms (compile: 3ms, render: 15ms)
 GET /config 200 in 14ms (compile: 1897µs, render: 12ms)
 GET /config 200 in 9ms (compile: 1321µs, render: 8ms)
 GET /config 200 in 17ms (compile: 1478µs, render: 15ms)
 GET /config 200 in 11ms (compile: 1604µs, render: 9ms)
 GET /config 200 in 10ms (compile: 2ms, render: 8ms)
 GET /config 200 in 16ms (compile: 1415µs, render: 15ms)
 ✓ Compiled in 21ms
 GET /dashboard 200 in 96ms (compile: 80ms, render: 16ms)
 GET /dashboard 200 in 66ms (compile: 24ms, render: 42ms)
 GET /users 200 in 38ms (compile: 28ms, render: 10ms)
 GET /stocks 200 in 43ms (compile: 26ms, render: 17ms)
 GET /sectors 200 in 238ms (compile: 226ms, render: 12ms)
 GET /dashboard 200 in 22ms (compile: 4ms, render: 18ms)
 GET /sectors 200 in 39ms (compile: 13ms, render: 26ms)
 GET /sync 200 in 43ms (compile: 29ms, render: 14ms)
 GET /debug-logs 200 in 41ms (compile: 26ms, render: 15ms)
 GET /config 200 in 22ms (compile: 4ms, render: 17ms)
 GET /sync 200 in 22ms (compile: 4ms, render: 18ms)
 GET /tables 200 in 61ms (compile: 44ms, render: 17ms)
 GET /tables 200 in 123ms (compile: 21ms, render: 102ms)
 GET /tables 200 in 68ms (compile: 22ms, render: 46ms)
 GET /sync 200 in 108ms (compile: 14ms, render: 94ms)
 GET /sync 200 in 68ms (compile: 13ms, render: 54ms)
 ✓ Compiled in 350ms
 GET /tables 200 in 53ms (compile: 10ms, render: 43ms)
 ✓ Compiled in 96ms
 GET /sync 200 in 68ms (compile: 26ms, render: 42ms)
 GET /sync 200 in 78ms (compile: 15ms, render: 63ms)
 GET /tables 200 in 88ms (compile: 25ms, render: 63ms)
 GET /sync 200 in 43ms (compile: 8ms, render: 35ms)
 GET / 200 in 89ms (compile: 39ms, render: 50ms)
 GET /dashboard 200 in 52ms (compile: 14ms, render: 37ms)
 GET /sync 200 in 54ms (compile: 12ms, render: 42ms)
 GET /tables 200 in 61ms (compile: 8ms, render: 53ms)
 GET /tables 200 in 41ms (compile: 13ms, render: 28ms)
 GET /sync 200 in 63ms (compile: 14ms, render: 49ms)
 GET /sync 200 in 169ms (compile: 95ms, render: 74ms)
 GET /tables 200 in 77ms (compile: 20ms, render: 56ms)
 GET /tables 200 in 55ms (compile: 15ms, render: 40ms)
 GET /sync 200 in 68ms (compile: 17ms, render: 51ms)
 GET /tables 200 in 48ms (compile: 10ms, render: 38ms)
 GET /sync 200 in 137ms (compile: 30ms, render: 107ms)
 GET /sync 200 in 100ms (compile: 31ms, render: 68ms)
 GET /sync 200 in 113ms (compile: 12ms, render: 102ms)
 ✓ Compiled in 346ms
 GET /sync 200 in 594ms (compile: 308ms, render: 287ms)
 GET /tables 200 in 105ms (compile: 21ms, render: 84ms)
 GET / 200 in 139ms (compile: 71ms, render: 68ms)
 GET /dashboard 200 in 31ms (compile: 14ms, render: 17ms)
 GET /stocks 200 in 48ms (compile: 29ms, render: 19ms)
 GET /dashboard 200 in 41ms (compile: 14ms, render: 27ms)
 GET /config 200 in 25ms (compile: 12ms, render: 13ms)
 GET /config 200 in 120ms (compile: 17ms, render: 103ms)
 GET /config 200 in 126ms (compile: 32ms, render: 94ms)
 GET /config 200 in 118ms (compile: 30ms, render: 88ms)
 GET /config 200 in 117ms (compile: 33ms, render: 85ms)
 GET /sync 200 in 61ms (compile: 21ms, render: 40ms)
 GET /sync 200 in 154ms (compile: 22ms, render: 132ms)
 GET /sync 200 in 147ms (compile: 40ms, render: 107ms)
 GET /sync 200 in 156ms (compile: 54ms, render: 102ms)
 GET /dashboard 200 in 118ms (compile: 41ms, render: 76ms)
 GET /stocks 200 in 30ms (compile: 7ms, render: 23ms)
 GET /sync 200 in 404ms (compile: 141ms, render: 263ms)
 GET /stocks 200 in 123ms (compile: 44ms, render: 79ms)
 GET /config 200 in 86ms (compile: 27ms, render: 59ms)
 GET /stocks 200 in 76ms (compile: 17ms, render: 59ms)
 GET /stocks 200 in 55ms (compile: 14ms, render: 41ms)
 GET /sync 200 in 130ms (compile: 20ms, render: 110ms)
 GET /tables 200 in 81ms (compile: 19ms, render: 62ms)
 GET /tables 200 in 77ms (compile: 24ms, render: 52ms)
 GET /sync 200 in 49ms (compile: 7ms, render: 41ms)
 GET /dashboard 200 in 61ms (compile: 21ms, render: 40ms)
 GET /tables 200 in 14ms (compile: 3ms, render: 10ms)
 GET /stocks 200 in 108ms (compile: 12ms, render: 96ms)
 GET /sync 200 in 83ms (compile: 15ms, render: 67ms)
 GET /sync 200 in 87ms (compile: 34ms, render: 53ms)
 GET /tables 200 in 82ms (compile: 12ms, render: 71ms)
 GET /sync 200 in 106ms (compile: 20ms, render: 86ms)
 GET /sync 200 in 99ms (compile: 14ms, render: 85ms)
 GET /sync 200 in 212ms (compile: 51ms, render: 161ms)
 GET /stocks 200 in 110ms (compile: 27ms, render: 83ms)
 GET /stocks 200 in 174ms (compile: 29ms, render: 145ms)
 GET /stocks 200 in 83ms (compile: 12ms, render: 71ms)
 GET /sync 200 in 133ms (compile: 29ms, render: 105ms)
 GET /dashboard 200 in 49ms (compile: 21ms, render: 28ms)
 GET /config 200 in 43ms (compile: 25ms, render: 18ms)
 GET /sync 200 in 129ms (compile: 32ms, render: 97ms)
 GET /tables 200 in 49ms (compile: 11ms, render: 38ms)
 GET /config 200 in 94ms (compile: 7ms, render: 88ms)
 GET /config 200 in 95ms (compile: 20ms, render: 75ms)
 GET /stocks 200 in 40ms (compile: 4ms, render: 36ms)
 GET /stocks 200 in 109ms (compile: 11ms, render: 98ms)
 GET /sync 200 in 84ms (compile: 13ms, render: 71ms)
[?25h
